Project,ReflectiveTarget,Type
boot-dubbo,org.springframework.cglib.proxy.MethodInterceptor,Type 1
boot-dubbo,org.springframework.cglib.proxy.LazyLoader,Type 1
boot-dubbo,org.springframework.cglib.proxy.InvocationHandler,Type 1
boot-dubbo,org.springframework.cglib.proxy.FixedValue,Type 1
boot-dubbo,org.springframework.cglib.proxy.Factory,Type 1
boot-dubbo,org.springframework.cglib.proxy.Enhancer$EnhancerKey,Type 1
boot-dubbo,org.springframework.cglib.proxy.Enhancer,Type 1
boot-dubbo,org.springframework.cglib.proxy.Dispatcher,Type 1
boot-dubbo,org.springframework.cglib.core.Signature,Type 1
boot-dubbo,org.springframework.cglib.core.ReflectUtils,Type 1
boot-dubbo,org.springframework.cglib.core.MethodWrapper$MethodWrapperKey,Type 1
boot-dubbo,org.springframework.cglib.core.KeyFactory,Type 1
boot-dubbo,org.springframework.boot.test.SpringApplicationContextLoader,Type 1
boot-dubbo,org.springframework.boot.test.autoconfigure.properties.SkipPropertyMapping,Type 1
boot-dubbo,org.springframework.boot.context.properties.EnableConfigurationPropertiesImportSelector$ConfigurationPropertiesBeanRegistrar,Type 1
boot-dubbo,org.springframework.boot.context.properties.EnableConfigurationPropertiesImportSelector,Type 1
boot-dubbo,org.springframework.boot.context.properties.EnableConfigurationProperties,Type 1
boot-dubbo,org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessorRegistrar,Type 1
boot-dubbo,org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor,Type 1
boot-dubbo,org.springframework.boot.context.properties.ConfigurationBeanFactoryMetaData,Type 1
boot-dubbo,org.springframework.boot.context.event.ApplicationStartedEvent,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.orm.jpa.DataSourceInitializedPublisher$Registrar,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.orm.jpa.DataSourceInitializedPublisher,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.MessageSourceAutoConfiguration$ResourceBundleCondition,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jta.JndiJtaConfiguration,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jms.JndiConnectionFactoryAutoConfiguration$JndiOrPropertyCondition,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerPostProcessor$Registrar,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerPostProcessor,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jdbc.DataSourceInitializer,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jdbc.DataSourceInitializedEvent,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$NonEmbeddedConfiguration,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.EnableAutoConfigurationImportSelector,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfigureRegistrar,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.SearchStrategy,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.OnWebApplicationCondition,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.OnPropertyCondition,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.OnJndiCondition,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.OnBeanCondition,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.ConditionalOnProperty,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.ConditionalOnBean,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.condition.BeanTypeRegistry$OptimizedBeanTypeRegistry,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.AutoConfigureAfter,Type 1
boot-dubbo,org.springframework.boot.autoconfigure.AutoConfigurationPackages$Registrar,Type 1
boot-dubbo,org.springframework.beans.factory.InitializingBean,Type 1
boot-dubbo,org.springframework.beans.factory.DisposableBean,Type 1
boot-dubbo,org.springframework.beans.factory.config.AbstractFactoryBean,Type 1
boot-dubbo,org.springframework.beans.factory.BeanNameAware,Type 1
boot-dubbo,org.springframework.beans.factory.BeanFactoryAware,Type 1
boot-dubbo,org.springframework.aop.TargetSource,Type 1
boot-dubbo,org.springframework.aop.SpringProxy,Type 1
boot-dubbo,org.springframework.aop.framework.AopConfigException,Type 1
boot-dubbo,org.springframework.aop.framework.Advised,Type 1
boot-dubbo,org.hibernate.tuple.entity.PojoEntityTuplizer,Type 1
boot-dubbo,org.hibernate.SessionFactory,Type 1
boot-dubbo,org.hibernate.Session,Type 1
boot-dubbo,org.hibernate.persister.entity.SingleTableEntityPersister,Type 1
boot-dubbo,org.hibernate.jpa.internal.metamodel.EntityTypeImpl,Type 1
boot-dubbo,org.hibernate.jpa.internal.EntityManagerMessageLogger_$logger,Type 1
boot-dubbo,org.hibernate.jpa.HibernateEntityManagerFactory,Type 1
boot-dubbo,org.hibernate.jpa.HibernateEntityManager,Type 1
boot-dubbo,org.hibernate.internal.CoreMessageLogger_$logger,Type 1
boot-dubbo,org.hibernate.id.IdentityGenerator,Type 1
boot-dubbo,org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory,Type 1
boot-dubbo,org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform,Type 1
boot-dubbo,org.hibernate.engine.transaction.internal.jdbc.JdbcTransactionFactory,Type 1
boot-dubbo,org.hibernate.annotations.common.util.impl.Log_$logger,Type 1
boot-dubbo,org.h2.mvstore.db.MVTableEngine,Type 1
boot-dubbo,org.apache.tomcat.jdbc.pool.DataSource,Type 1
boot-dubbo,org.apache.ibatis.type.TypeHandler,Type 1
boot-dubbo,org.apache.ibatis.type.BaseTypeHandler,Type 1
boot-dubbo,org.apache.ibatis.session.SqlSessionFactory,Type 1
